solver,penalty,C,warning_message,n_train_samples,n_features,iterations
saga,l1,10.0,The max_iter was reached which means the coef_ did not converge,1128,768,5000
saga,l1,10.0,The max_iter was reached which means the coef_ did not converge,1134,768,5000
saga,l1,10.0,The max_iter was reached which means the coef_ did not converge,1184,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1128,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1134,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1184,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1128,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1134,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1184,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1128,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1134,768,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1184,768,5000
saga,l2,0.01,The max_iter was reached which means the coef_ did not converge,1134,384,5000
saga,l2,0.01,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l2,0.01,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l1,0.1,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l1,0.1,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l2,0.1,The max_iter was reached which means the coef_ did not converge,1134,384,5000
saga,l2,0.1,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l2,0.1,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l1,1.0,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l1,1.0,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l2,1.0,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l2,1.0,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l2,1.0,The max_iter was reached which means the coef_ did not converge,1184,384,5000
saga,l1,10.0,The max_iter was reached which means the coef_ did not converge,1134,384,5000
saga,l1,10.0,The max_iter was reached which means the coef_ did not converge,1134,384,5000
saga,l2,10.0,The max_iter was reached which means the coef_ did not converge,1184,384,5000
